	MA_SCP_Best	MA_SCP_Avg	MA_iSCP_Best	MA_iSCP_Avg	MA_SCP+_Best	MA_SCP+_Avg	MA_CB_Best	MA_CB_Avg	MA_ICP_Best	MA_ICP_Avg	MA_HYB_Best	MA_HYB_Avg	CPO_Best	CPO_Avg
i1000_10_10	4823	6037.33	4036	4144.20	4017	4197.93	3980	4052.77	5602	5940.87	4028	4061.03	4471	4471.00
i1000_20_1	9802	10931.00	9469	9604.70	9462	9530.60	9440	9476.63	9522	9559.57	9440	9440.00	10379	10405.67
i1000_20_2	17935	19477.00	16488	16772.00	16281	16514.20	15988	16138.90	17618	17801.70	16069	16111.60	17525	17525.00
i1000_20_3	20613	20780.20	20521	20762.20	20471	20635.50	20149	20267.10	23207	23879.70	20168	20209.90	20318	20318.00
i1000_20_4	8208	8313.33	8107	8186.70	8150	8211.27	7991	8064.00	8330	8466.63	7962	7971.70	8214	8214.00
i1000_20_5	15595	16415.90	14374	14620.60	14336	14522.30	14197	14386.30	14306	14371.80	14183	14183.00	15211	15211.00
i1000_20_6	25235	25483.70	25197	25435.00	25213	25345.30	24835	24937.60	27097	27679.50	24693	24738.90	25044	25044.00
i1000_20_7	10073	10270.00	10039	10197.50	10049	10192.50	9836	9939.57	10662	10770.20	9816	9836.60	10012	10012.00
i1000_20_8	17281	17949.20	17080	17433.30	17086	17258.70	16703	16896.30	18481	18907.10	16994	17095.40	17482	17482.00
i1000_20_9	11547	12699.00	10363	10523.50	10343	10410.50	10290	10365.90	10413	10444.90	10290	10290.00	11583	11583.00
i1000_20_10	11510	12582.00	10826	10911.40	10820	10874.60	10781	10806.60	10802	10814.30	10781	10781.00	11316	11316.00
i1000_30_1	8401	9304.60	7644	8014.30	7338	7526.77	6877	6950.90	8524	8816.57	6902	6947.57	7871	7871.00
i1000_30_2	2516	2923.57	2082	2229.40	2106	2169.60	1693	1727.60	2590	2785.83	1687	1710.30	2074	2074.00
i1000_30_3	20670	22030.80	19343	19926.50	19255	19627.60	18261	18486.10	21191	21489.60	18433	18512.90	20964	20977.70
i1000_30_4	14121	14977.00	12739	13016.10	12720	12949.00	12448	12561.80	12625	12755.60	12399	12399.00	13991	13991.00
i1000_30_5	4889	5357.83	4555	4837.37	4237	4420.03	3740	3798.37	5370	5629.40	3768	3814.60	4308	4308.00
i1000_30_6	13869	14958.80	12388	12808.10	12505	12712.10	12138	12283.50	12221	12277.80	12090	12090.00	13630	13630.00
i1000_30_7	11759	12666.70	10370	10686.20	10233	10409.60	9786	9912.03	10896	11199.10	9795	9814.73	10763	10813.50
i1000_30_8	2597	2914.20	2260	2334.13	2219	2312.20	2101	2115.90	2427	2572.43	2085	2087.40	2713	2713.00
i1000_30_9	16541	16800.90	16256	16406.50	15989	16069.30	15637	15723.10	16407	16547.70	15625	15674.30	15856	15859.33
i1000_30_10	21525	22212.80	20018	20475.00	19397	19789.90	18488	18751.40	21676	22082.00	18728	18826.10	20959	20959.00
i1000_50_1	3739	4074.13	3211	3373.13	3282	3413.40	2984	3012.30	2992	3048.03	2883	2883.00	3315	3315.00
i1000_50_2	21343	23019.20	19613	20321.00	18128	18386.60	16292	16353.10	18866	19060.20	16418	16498.40	16491	16491.00
i1000_50_3	13954	15006.80	12643	13045.80	12649	13002.60	11921	12074.30	12013	12126.40	11613	11613.00	13047	13047.00
i1000_50_4	1539	1856.47	1333	1380.30	1326	1391.53	1186	1219.93	1155	1193.23	1142	1142.00	1520	1520.00
i1000_50_5	2056	2321.70	1644	1723.37	1660	1745.97	1446	1473.03	1438	1482.20	1390	1390.00	1630	1630.00
